Names	Description	Type	CollectionTimepoint	Stage	pH	EC	OC	P2O5	K2O	S	Mn	Cu	Fe	Zn
PS4	Presowing	PreSowing	Collection-0	PreSowing	8.35	0.69	0.38	18	358	18.4	11.8	1.26	7.96	0.32
PS5	Presowing	PreSowing	Collection-0	PreSowing	8.45	0.6	0.4	17	339	18.6	15.5	1.28	8.02	0.3
R11	Rhizosphere1	Rhizosphere	Collection-1	Seedling	7.7	1.66	0.41	10	333	18.6	12.2	1.06	7.62	0.28
R12	Rhizosphere1	Rhizosphere	Collection-1	Seedling	8.05	1.23	0.41	8	403	17.1	9.78	0.96	8.4	0.24
R13	Rhizosphere1	Rhizosphere	Collection-1	Seedling	8	1.14	0.4	17	327	17.8	9.52	1.02	9.44	0.32
R14	Rhizosphere1	Rhizosphere	Collection-1	Seedling	7.81	0.99	0.37	12	241	18	12.5	1.58	7.9	0.34
R15	Rhizosphere1	Rhizosphere	Collection-1	Seedling	8.12	1.03	0.37	10	273	18.6	14.7	1.46	6.92	0.3
R21	Rhizosphere2	Rhizosphere	Collection-2	PreNodulating	9.02	0.5	0.53	9	247	14.7	4.38	0.42	2.82	0.34
R22	Rhizosphere2	Rhizosphere	Collection-2	PreNodulating	9.07	0.38	0.53	7	251	14	3.9	0.92	3.48	0.22
R23	Rhizosphere2	Rhizosphere	Collection-2	PreNodulating	9.06	0.47	0.5	7	309	15.6	3.08	0.88	2.54	0.28
R24	Rhizosphere2	Rhizosphere	Collection-2	PreNodulating	9.04	0.53	0.48	7	268	13.6	2.34	0.72	2.24	0.22
R25	Rhizosphere2	Rhizosphere	Collection-2	PreNodulating	9	0.54	0.47	8	303	14.7	2.76	0.64	2.16	0.2
R31	Rhizosphere3	Rhizosphere	Collection-3	PreNodulating	8.62	0.54	0.28	22	251	14.6	9.94	2.12	6.2	0.28
R32	Rhizosphere3	Rhizosphere	Collection-3	PreNodulating	8.88	0.59	0.27	22	219	13.4	6.9	1.28	5.24	0.26
R33	Rhizosphere3	Rhizosphere	Collection-3	PreNodulating	8.66	0.81	0.3	9	262	13.9	5.72	1.36	5.3	0.44
R34	Rhizosphere3	Rhizosphere	Collection-3	PreNodulating	8.64	0.7	0.29	8	257	14.7	6.82	1.22	5.06	0.4
R35	Rhizosphere3	Rhizosphere	Collection-3	PreNodulating	8.82	0.69	0.3	8	235	15.4	7.66	1.2	5.2	0.34
R41	Rhizosphere4	Rhizosphere	Collection-4	Nodulating	8.34	0.55	0.61	7	112	13.6	8	0.78	4.16	0.22
R42	Rhizosphere4	Rhizosphere	Collection-4	Nodulating	8.35	0.58	0.56	8	230	11.5	8.42	1.18	4.98	0.28
R43	Rhizosphere4	Rhizosphere	Collection-4	Nodulating	8.4	0.62	0.58	7	180	12.6	6.68	1.18	5.62	0.24
R44	Rhizosphere4	Rhizosphere	Collection-4	Nodulating	8.22	0.6	0.59	7	235	11	8.54	0.3	4.98	0.2
R45	Rhizosphere4	Rhizosphere	Collection-4	Nodulating	8.36	0.61	0.57	8	152	12.3	10.8	1.1	5.42	0.34
R51	Rhizosphere5	Rhizosphere	Collection-5	Nodulating	8.47	0.54	0.5	18	315	18.8	11.6	1.08	3.6	0.34
R52	Rhizosphere5	Rhizosphere	Collection-5	Nodulating	8.58	0.51	0.41	10	371	19.7	10.1	1.12	4.36	0.3
R53	Rhizosphere5	Rhizosphere	Collection-5	Nodulating	8.48	0.52	0.38	8	327	16.5	13	1.14	3.62	0.38
R54	Rhizosphere5	Rhizosphere	Collection-5	Nodulating	8.32	0.52	0.38	8	241	17.5	11	1.12	4.18	0.34
R55	Rhizosphere5	Rhizosphere	Collection-5	Nodulating	8.5	0.54	0.4	7	279	18.6	10.4	1.02	3.84	0.4
R61	Rhizosphere6	Rhizosphere	Collection-6	Flowering	8.51	0.31	0.49	9	291	13.2	4.12	1	3.52	0.24
R62	Rhizosphere6	Rhizosphere	Collection-6	Flowering	8.6	0.44	0.5	8	195	14.9	3.8	0.84	3.24	0.26
R63	Rhizosphere6	Rhizosphere	Collection-6	Flowering	8.42	0.47	0.5	7	279	13.2	3.36	0.8	5.16	0.3
R64	Rhizosphere6	Rhizosphere	Collection-6	Flowering	8.41	0.42	0.47	8	315	15.8	3.78	1.12	4.58	0.2
R65	Rhizosphere6	Rhizosphere	Collection-6	Flowering	8.1	0.46	0.47	8	214	13.2	3.92	1.06	2.46	0.22
R71	Rhizosphere7	Rhizosphere	Collection-7	Flowering	8.3	0.47	0.26	10	247	17.5	8.22	1.16	8.84	0.36
R72	Rhizosphere7	Rhizosphere	Collection-7	Flowering	8.31	0.57	0.28	9	377	15.8	8.04	1.12	4.3	0.34
R73	Rhizosphere7	Rhizosphere	Collection-7	Flowering	8.5	0.44	0.27	8	303	18	6	1.18	4.2	0.4
R74	Rhizosphere7	Rhizosphere	Collection-7	Flowering	8.26	0.44	0.25	8	464	14.6	7.36	1.1	4.96	0.46
R75	Rhizosphere7	Rhizosphere	Collection-7	Flowering	8.35	0.43	0.26	9	364	14	7.12	1.12	5	0.38
R81	Rhizosphere8	Rhizosphere	Collection-8	Matured	8.36	0.44	0.6	8	291	12.6	8.74	1.1	5.4	0.22
R82	Rhizosphere8	Rhizosphere	Collection-8	Matured	8.34	0.53	0.57	9	309	13.9	7.98	1.12	5.76	0.3
R83	Rhizosphere8	Rhizosphere	Collection-8	Matured	8.21	0.41	0.56	7	396	12.6	6.8	1.06	5.54	0.28
R84	Rhizosphere8	Rhizosphere	Collection-8	Matured	8.31	0.41	0.57	8	333	11.5	6.76	0.98	5.18	0.28
R85	Rhizosphere8	Rhizosphere	Collection-8	Matured	8.35	0.42	0.61	9	309	10.4	8.58	0.86	4.68	0.28
